CMDLINE python3 alignEM.py
CHLD 34289 9.410156 1670019774.7995
CHLD 34296 26.097656 1670019774.7995
CHLD 34297 78.964844 1670019774.7995
MEM 259.941406 1670019774.9045
CHLD 34289 9.410156 1670019774.9158
CHLD 34296 26.097656 1670019774.9158
CHLD 34297 78.402344 1670019774.9158
MEM 259.945312 1670019775.0177
CHLD 34289 9.410156 1670019775.0271
CHLD 34296 26.097656 1670019775.0271
CHLD 34297 78.402344 1670019775.0271
MEM 260.007812 1670019775.1282
CHLD 34289 9.410156 1670019775.1371
CHLD 34296 26.097656 1670019775.1371
CHLD 34297 78.402344 1670019775.1371
MEM 259.996094 1670019775.2421
CHLD 34289 9.410156 1670019775.2507
CHLD 34296 26.097656 1670019775.2507
CHLD 34297 78.402344 1670019775.2507
MEM 259.996094 1670019775.3510
CHLD 34289 9.410156 1670019775.3597
CHLD 34296 26.097656 1670019775.3597
CHLD 34297 78.402344 1670019775.3597
MEM 260.003906 1670019775.4626
CHLD 34289 9.410156 1670019775.4713
CHLD 34296 26.097656 1670019775.4713
CHLD 34297 78.402344 1670019775.4713
MEM 260.003906 1670019775.5729
CHLD 34289 9.410156 1670019775.5811
CHLD 34296 26.062500 1670019775.5812
CHLD 34297 78.402344 1670019775.5812
MEM 260.003906 1670019775.6825
CHLD 34289 9.410156 1670019775.6913
CHLD 34296 26.062500 1670019775.6913
CHLD 34297 78.402344 1670019775.6913
MEM 260.011719 1670019775.7930
CHLD 34289 9.410156 1670019775.8053
CHLD 34296 26.062500 1670019775.8053
CHLD 34297 78.402344 1670019775.8053
MEM 260.082031 1670019775.9095
CHLD 34289 9.410156 1670019775.9180
CHLD 34296 26.062500 1670019775.9180
CHLD 34297 78.378906 1670019775.9180
MEM 260.082031 1670019776.0228
CHLD 34289 9.410156 1670019776.0308
CHLD 34296 26.062500 1670019776.0308
CHLD 34297 78.378906 1670019776.0309
MEM 260.093750 1670019776.1329
CHLD 34289 9.410156 1670019776.1412
CHLD 34296 26.062500 1670019776.1412
CHLD 34297 78.378906 1670019776.1412
MEM 260.093750 1670019776.2431
CHLD 34289 9.410156 1670019776.2525
CHLD 34296 26.062500 1670019776.2525
CHLD 34297 78.378906 1670019776.2525
MEM 260.109375 1670019776.3539
CHLD 34289 9.410156 1670019776.3638
CHLD 34296 26.062500 1670019776.3639
CHLD 34297 78.378906 1670019776.3639
MEM 260.136719 1670019776.4650
CHLD 34289 9.410156 1670019776.4739
CHLD 34296 26.062500 1670019776.4739
CHLD 34297 78.378906 1670019776.4739
MEM 260.164062 1670019776.5743
CHLD 34289 9.410156 1670019776.5826
CHLD 34296 26.062500 1670019776.5826
CHLD 34297 78.378906 1670019776.5826
MEM 260.175781 1670019776.6836
CHLD 34289 9.410156 1670019776.6917
CHLD 34296 26.062500 1670019776.6917
CHLD 34297 78.378906 1670019776.6917
MEM 262.492188 1670019776.7942
CHLD 34289 9.410156 1670019776.8038
CHLD 34296 26.062500 1670019776.8038
CHLD 34297 78.378906 1670019776.8038
MEM 268.546875 1670019776.9041
CHLD 34289 9.410156 1670019776.9140
CHLD 34296 26.062500 1670019776.9141
CHLD 34297 78.378906 1670019776.9141
CHLD 34307 45.691406 1670019776.9141
MEM 273.792969 1670019777.0191
CHLD 34289 9.410156 1670019777.0285
CHLD 34296 26.164062 1670019777.0285
CHLD 34297 78.378906 1670019777.0285
CHLD 34307 68.882812 1670019777.0285
MEM 274.125000 1670019777.1303
CHLD 34289 9.410156 1670019777.1400
CHLD 34296 26.218750 1670019777.1400
CHLD 34297 78.378906 1670019777.1401
CHLD 34307 81.316406 1670019777.1401
MEM 282.984375 1670019777.2446
CHLD 34289 9.410156 1670019777.2551
CHLD 34296 26.246094 1670019777.2551
CHLD 34297 78.359375 1670019777.2551
CHLD 34307 88.960938 1670019777.2551
MEM 317.699219 1670019777.3594
CHLD 34289 9.410156 1670019777.3692
CHLD 34296 26.312500 1670019777.3693
CHLD 34297 78.359375 1670019777.3693
CHLD 34307 95.265625 1670019777.3693
MEM 295.304688 1670019777.4713
CHLD 34289 9.410156 1670019777.4813
CHLD 34296 26.406250 1670019777.4813
CHLD 34297 78.359375 1670019777.4814
CHLD 34307 141.023438 1670019777.4814
MEM 295.617188 1670019777.5846
CHLD 34289 9.410156 1670019777.5933
CHLD 34296 26.406250 1670019777.5933
CHLD 34297 78.359375 1670019777.5933
CHLD 34307 142.441406 1670019777.5933
MEM 295.644531 1670019777.6969
CHLD 34289 9.410156 1670019777.7053
CHLD 34296 26.406250 1670019777.7054
CHLD 34297 78.359375 1670019777.7054
CHLD 34307 142.503906 1670019777.7054
MEM 295.644531 1670019777.8077
CHLD 34289 9.410156 1670019777.8158
CHLD 34296 26.406250 1670019777.8158
CHLD 34297 78.359375 1670019777.8158
CHLD 34307 142.503906 1670019777.8158
MEM 295.644531 1670019777.9191
CHLD 34289 9.410156 1670019777.9282
CHLD 34296 26.406250 1670019777.9282
CHLD 34297 78.359375 1670019777.9282
CHLD 34307 142.503906 1670019777.9282
MEM 295.644531 1670019778.0285
CHLD 34289 9.410156 1670019778.0376
CHLD 34296 26.406250 1670019778.0376
CHLD 34297 78.359375 1670019778.0376
CHLD 34307 142.539062 1670019778.0376
MEM 295.648438 1670019778.1413
CHLD 34289 9.410156 1670019778.1496
CHLD 34296 26.406250 1670019778.1496
CHLD 34297 78.359375 1670019778.1496
CHLD 34307 142.539062 1670019778.1496
MEM 295.648438 1670019778.2523
CHLD 34289 9.410156 1670019778.2607
CHLD 34296 26.406250 1670019778.2607
CHLD 34297 78.359375 1670019778.2607
CHLD 34307 142.539062 1670019778.2608
MEM 295.648438 1670019778.3643
CHLD 34289 9.410156 1670019778.3727
CHLD 34296 26.406250 1670019778.3727
CHLD 34297 78.359375 1670019778.3727
CHLD 34307 142.539062 1670019778.3727
MEM 295.652344 1670019778.4753
CHLD 34289 9.410156 1670019778.4839
CHLD 34296 26.406250 1670019778.4839
CHLD 34297 78.359375 1670019778.4839
CHLD 34307 142.539062 1670019778.4839
MEM 295.675781 1670019778.5877
CHLD 34289 9.410156 1670019778.5974
CHLD 34296 26.406250 1670019778.5974
CHLD 34297 78.359375 1670019778.5974
CHLD 34307 142.539062 1670019778.5975
MEM 295.675781 1670019778.6987
CHLD 34289 9.410156 1670019778.7068
CHLD 34296 26.406250 1670019778.7069
CHLD 34297 78.359375 1670019778.7069
CHLD 34307 142.539062 1670019778.7069
MEM 295.683594 1670019778.8090
CHLD 34289 9.410156 1670019778.8174
CHLD 34296 26.406250 1670019778.8175
CHLD 34297 78.359375 1670019778.8175
CHLD 34307 142.539062 1670019778.8176
MEM 295.503906 1670019778.9201
CHLD 34289 9.410156 1670019778.9287
CHLD 34296 26.406250 1670019778.9287
CHLD 34297 78.359375 1670019778.9287
CHLD 34307 142.503906 1670019778.9287
