CMDLINE python3 alignEM.py
CHLD 34605 9.523438 1670019945.4951
CHLD 34614 25.996094 1670019945.4951
CHLD 34615 79.984375 1670019945.4951
MEM 247.570312 1670019945.5967
CHLD 34605 9.523438 1670019945.6060
CHLD 34614 25.996094 1670019945.6060
CHLD 34615 79.984375 1670019945.6060
MEM 247.570312 1670019945.7099
CHLD 34605 9.523438 1670019945.7185
CHLD 34614 25.996094 1670019945.7185
CHLD 34615 79.984375 1670019945.7185
MEM 247.570312 1670019945.8211
CHLD 34605 9.523438 1670019945.8302
CHLD 34614 25.996094 1670019945.8302
CHLD 34615 79.984375 1670019945.8303
MEM 247.550781 1670019945.9308
CHLD 34605 9.523438 1670019945.9391
CHLD 34614 25.996094 1670019945.9392
CHLD 34615 79.984375 1670019945.9392
MEM 247.550781 1670019946.0402
CHLD 34605 9.523438 1670019946.0490
CHLD 34614 25.996094 1670019946.0490
CHLD 34615 80.347656 1670019946.0490
MEM 247.507812 1670019946.1505
CHLD 34605 9.523438 1670019946.1609
CHLD 34614 25.996094 1670019946.1610
CHLD 34615 79.398438 1670019946.1610
MEM 247.507812 1670019946.2647
CHLD 34605 9.523438 1670019946.2745
CHLD 34614 25.996094 1670019946.2745
CHLD 34615 79.398438 1670019946.2745
MEM 247.507812 1670019946.3751
CHLD 34605 9.523438 1670019946.3836
CHLD 34614 25.996094 1670019946.3837
CHLD 34615 79.398438 1670019946.3837
MEM 247.507812 1670019946.4853
CHLD 34605 9.523438 1670019946.4938
CHLD 34614 25.996094 1670019946.4938
CHLD 34615 79.398438 1670019946.4939
MEM 247.507812 1670019946.5984
CHLD 34605 9.523438 1670019946.6079
CHLD 34614 25.988281 1670019946.6079
CHLD 34615 79.398438 1670019946.6079
MEM 247.507812 1670019946.7116
CHLD 34605 9.523438 1670019946.7203
CHLD 34614 25.988281 1670019946.7204
CHLD 34615 79.398438 1670019946.7204
MEM 247.511719 1670019946.8219
CHLD 34605 9.523438 1670019946.8315
CHLD 34614 25.988281 1670019946.8315
CHLD 34615 79.398438 1670019946.8315
MEM 247.511719 1670019946.9351
CHLD 34605 9.523438 1670019946.9438
CHLD 34614 25.988281 1670019946.9438
CHLD 34615 79.398438 1670019946.9438
MEM 247.511719 1670019947.0449
CHLD 34605 9.523438 1670019947.0536
CHLD 34614 25.988281 1670019947.0537
CHLD 34615 79.398438 1670019947.0537
MEM 247.511719 1670019947.1547
CHLD 34605 9.523438 1670019947.1625
CHLD 34614 25.988281 1670019947.1626
CHLD 34615 79.398438 1670019947.1626
MEM 247.511719 1670019947.2673
CHLD 34605 9.523438 1670019947.2763
